Lon,Lat,GPS Head,PCI548_4_mean,PCI548_5_mean,PCI548_10_mean,PCI548_11_mean,PCI548_12_mean,PCI548_13_mean,PCI548_20_mean,PCI548_21_mean,PCI548_26_mean,PCI548_27_mean,PCI548_cell_mean,PCI548_4_max,PCI548_5_max,PCI548_10_max,PCI548_11_max,PCI548_12_max,PCI548_13_max,PCI548_20_max,PCI548_21_max,PCI548_26_max,PCI548_27_max,PCI548_cell_max,PCI548_4_min,PCI548_5_min,PCI548_10_min,PCI548_11_min,PCI548_12_min,PCI548_13_min,PCI548_20_min,PCI548_21_min,PCI548_26_min,PCI548_27_min,PCI548_cell_min,PCI548_4_std,PCI548_5_std,PCI548_10_std,PCI548_11_std,PCI548_12_std,PCI548_13_std,PCI548_20_std,PCI548_21_std,PCI548_26_std,PCI548_27_std,PCI548_cell_std,PCI548_4_count,PCI548_5_count,PCI548_10_count,PCI548_11_count,PCI548_12_count,PCI548_13_count,PCI548_20_count,PCI548_21_count,PCI548_26_count,PCI548_27_count,PCI548_cell_count,run
-93.262062,44.9753,0,,,,-116.25,,-112.955,,,-118.44999999999999,,-113.47238095238096,,,,-116.25,,-110.7,,,-118.41,,-110.83,,,,-116.25,,-117.15,,,-118.49,,-117.71,,,,,,1.567329125689725,,,0.05656854249491757,,2.0724331225926287,0,0,0,1,0,18,0,0,2,0,21,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262062,44.975349,120,,,,,,,-124.64500000000001,,,,-124.64500000000001,,,,,,,-124.23,,,,-124.23,,,,,,,-125.06,,,,-125.06,,,,,,,0.5868986283848282,,,,0.5868986283848282,0,0,0,0,0,0,2,0,0,0,2,"['14', '14']"
-93.262062,44.975361,180,,,,-115.05,,,-116.92,,,,-114.69333333333334,,,,-114.08,,,-116.92,,,,-113.72,,,,-116.02,,,-116.92,,,,-115.68,,,,1.3717871555019006,,,,,,,0.9800680248499782,0,0,0,2,0,0,1,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975365,180,,,,-115.92,,,,,,,-115.60333333333334,,,,-115.65,,,,,,,-114.49,,,,-116.31,,,,,,,-116.35,,,,0.34597687784012743,,,,,,,0.9827173211729456,0,0,0,3,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975368,180,,,,-116.64,,,-117.27,,,,-116.8,,,,-116.47,,,-117.27,,,,-116.2,,,,-116.81,,,-117.27,,,,-117.32,,,,0.24041630560342858,,,,,,,0.5642694391866342,0,0,0,2,0,0,1,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975372,180,,,,,,,-117.78,,,,-116.91,,,,,,,-117.78,,,,-116.91,,,,,,,-117.78,,,,-116.91,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.262062,44.975372,210,,,,-117.2,,,,,,,-117.18,,,,-117.2,,,,,,,-117.18,,,,-117.2,,,,,,,-117.18,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262062,44.975376,210,,,,-116.61,,,,,,,-116.8,,,,-116.61,,,,,,,-116.8,,,,-116.61,,,,,,,-116.8,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262062,44.97538,210,,,,-119.42666666666666,,,,,,,-118.68333333333334,,,,-117.72,,,,,,,-118.17,,,,-120.45,,,,,,,-119.61,,,,1.4877611815521106,,,,,,,0.8040729651799863,0,0,0,3,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975384,210,,,,,,,-120.0,,,,-119.46,,,,,,,-120.0,,,,-119.46,,,,,,,-120.0,,,,-119.46,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
