Lon,Lat,GPS Head,PCI,Band,RSRP_mean,RSRQ_mean,RSSI_mean,SINR_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.261551,44.97543,180,224,Band 66,-77.4,-9.003333333333332,-45.64666666666667,6.803333333333334,88.93333333333334,35.300000000000004,11.223333333333334,"['18', '18', '18']"
-93.261551,44.975433,180,224,Band 66,-78.48333333333333,-10.24,-44.916666666666664,5.636666666666667,90.14,0.7933333333333333,10.016666666666667,"['18', '18', '18']"
-93.261551,44.975471,60,224,Band 66,-73.7,-10.3,-43.38,2.1,94.15714285714286,0.0,12.67,['18']
-93.261551,44.975471,90,224,Band 66,-76.0,-12.579999999999998,-43.43333333333333,1.2366666666666666,93.45,18.603333333333335,12.5,"['18', '18', '18']"
-93.261551,44.975571,120,224,Band 66,-73.45777777777776,-14.527777777777779,-38.73555555555555,17.51888888888889,89.94,27.92333333333334,14.193333333333333,"['15', '15', '15', '15', '15', '15', '15', '15', '15']"
-93.261551,44.975571,150,224,Band 66,-73.045,-12.405000000000001,-40.365,15.459999999999999,91.38499999999999,27.805,13.75,"['15', '15']"
-93.261543,44.975128,240,224,Band 66,-74.06,-14.28,-39.13,4.09,94.16,21.615000000000002,12.0,['5']
-93.261543,44.975132,240,224,Band 66,-74.98,-15.65,-38.67,3.38,95.0,14.06,8.2,['5']
-93.261543,44.975437,180,224,Band 66,-78.67,-10.133333333333333,-45.589999999999996,9.166666666666666,90.33,33.519999999999996,12.543333333333335,"['18', '18', '18']"
-93.261543,44.975441,180,224,Band 66,-77.00333333333333,-10.61,-45.04,17.006666666666668,89.295,48.970000000000006,12.873333333333333,"['18', '18', '18']"
-93.261543,44.975468,180,224,Band 66,-79.19,-10.06,-44.59,15.35,89.726,31.095,11.0,['18']
-93.261543,44.975471,120,224,Band 66,-78.725,-14.71,-44.0,-1.825,91.475,3.57,10.835,"['18', '18']"
-93.261543,44.975471,150,224,Band 66,-79.945,-15.469999999999999,-44.370000000000005,-1.745,90.64099999999999,5.1825,10.0,"['18', '18']"
-93.261543,44.975471,180,224,Band 66,-79.17,-14.13,-45.0,15.99,90.092,20.73,13.0,['18']
-93.261543,44.975571,120,224,Band 66,-73.78833333333334,-15.211666666666666,-38.456666666666656,17.55,91.77666666666669,13.713333333333333,13.219999999999999,"['15', '15', '15', '15', '15', '15']"
-93.261536,44.975132,240,224,Band 66,-79.01,-17.32,-40.99,2.04,93.87,76.19,10.67,['5']
-93.261536,44.975136,240,224,Band 66,-78.98,-16.3,-42.67,2.13,95.64,20.0,9.67,['5']
-93.261536,44.975571,120,224,Band 66,-74.28800000000001,-14.906,-38.779999999999994,9.068,90.526,23.659999999999997,11.328,"['15', '15', '15', '15', '15']"
-93.261528,44.975136,240,224,Band 66,-79.2,-16.86,-42.13,2.98,94.2,0.0,11.0,['5']
-93.261528,44.97514,240,224,Band 66,-81.815,-17.345,-42.010000000000005,1.0050000000000001,92.64000000000001,16.93,9.665,"['5', '5']"
-93.261528,44.975143,240,224,Band 66,-76.36,-15.42,-40.16,3.9,92.28,0.0,9.33,['5']
-93.261528,44.975372,210,224,Band 66,-77.26,-14.46,-37.18,9.65,97.48,0.0,13.0,['5']
-93.261528,44.975544,150,224,Band 66,-79.02,-15.17,-41.0,2.0,91.13,44.19,10.5,['15']
-93.261528,44.975567,120,224,Band 66,-73.605,-10.46,-41.480000000000004,4.5,89.590625,3.5725,13.0,"['15', '15']"
-93.261528,44.975571,120,224,Band 66,-73.925,-12.860000000000001,-40.24249999999999,3.7950000000000004,89.97625,19.759999999999998,13.0275,"['15', '15', '15', '15']"
-93.26152,44.975143,240,224,Band 66,-74.22,-13.19,-39.09,4.85,92.04,15.79,7.0,['5']
-93.26152,44.975147,240,224,Band 66,-72.76,-13.25,-39.28,6.7,92.95333333333333,19.44,12.0,['5']
-93.26152,44.975372,210,224,Band 66,-75.86,-14.53,-36.91,10.05,101.62,4.29,13.5,['5']
-93.26152,44.975376,210,224,Band 66,-73.84,-14.045,-37.66,8.46,101.875,13.669999999999998,13.0,"['5', '5']"
