Lon,Lat,GPS Head,PCI,Beam,ssRSRP_mean,ssRSRQ_mean,ssSINR_mean,ssbRSRP_mean,criRSRP_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.262039,44.975349,150,1,13,-102.36,-10.715,8.375,-100.5,-93.5,115.0,2.295,10.899999999999999,"['14', '14']"
-93.262039,44.975353,90,1,13,-102.13,-11.03,9.41,-98.67,-88.67,114.33,3.71,12.8,['14']
-93.262039,44.975357,90,1,13,-101.765,-11.015,6.505,-101.75,-93.16499999999999,115.0,1.805,12.6,"['14', '14']"
-93.262039,44.975395,240,1,13,-90.55,-10.45,13.59,-91.5,-85.5,104.5,5.49,13.4,['14']
-93.262039,44.975399,240,1,10,-101.09,-10.59,11.26,-100.0,-92.0,115.6,3.11,12.0,['14']
-93.262039,44.975399,240,1,13,-95.09,-10.525,17.61,-87.33500000000001,-75.75,105.3,0.0,14.0,"['14', '14']"
-93.262039,44.975399,270,1,5,-103.38,-11.44,4.535,-102.0,-94.0,120.0,0.0,9.75,['5']
-93.262039,44.975399,270,1,12,-105.0575,-12.0225,2.05125,-102.25,-96.00125,119.6375,7.5225,9.0,"['5', '5', '5', '5']"
-93.262039,44.975403,240,1,10,-100.47,-10.620000000000001,10.675,-100.41499999999999,-90.83500000000001,115.5,0.64,11.875,"['14', '14']"
-93.262039,44.975437,60,1,5,-101.95,-10.99,0.01,-100.0,-95.0,117.0,0.0,9.0,['5']
-93.262039,44.975437,120,1,5,-102.22,-10.85,2.135,-100.0,-92.0,117.0,0.0,9.5,['5']
-93.262039,44.975441,0,1,5,-103.03333333333335,-11.266666666666666,-0.37666666666666665,-102.5,-93.5,118.29333333333334,0.0,9.583333333333334,"['5', '5', '5']"
-93.262039,44.975445,30,1,5,-103.38,-11.64,1.56,-102.0,-96.0,119.5,0.0,8.0,['5']
-93.262039,44.975491,180,1,13,-89.38666666666667,-10.51,15.113333333333335,-87.66666666666667,-82.0,104.72333333333334,14.39,13.473333333333334,"['7', '7', '7']"
-93.262039,44.975494,180,1,13,-89.29333333333334,-10.496666666666668,17.00166666666667,-87.72333333333334,-81.36,105.13,0.0,14.0,"['7', '7', '7']"
-93.262039,44.975498,180,1,13,-88.945,-10.5,17.185,-87.0,-81.66499999999999,105.0,5.095,14.0,"['7', '7']"
-93.262039,44.975502,180,1,13,-88.925,-10.495000000000001,16.917499999999997,-87.0,-81.83500000000001,105.0,10.675,14.0,"['7', '7']"
-93.262039,44.975761,150,1,13,-102.09333333333332,-11.206666666666669,0.1433333333333334,-99.0,-92.0,117.33333333333333,2.5166666666666666,10.333333333333334,"['8', '8', '8']"
-93.262039,44.975761,180,1,13,-104.31,-11.44,2.0700000000000003,-101.5,-91.0,117.0,0.0,13.0,['8']
-93.262039,44.975777,210,1,13,-89.5,-10.435,17.572499999999998,-89.0,-77.5,104.715,2.0,14.0,"['8', '8']"
-93.262039,44.97578,210,1,13,-90.255,-10.455,16.1975,-88.66499999999999,-77.16499999999999,105.0,0.0,14.0,"['8', '8']"
-93.262039,44.975784,210,1,13,-91.185,-10.524999999999999,14.195,-89.0,-82.0,106.6,0.0,13.5,"['8', '8']"
-93.262032,44.975296,210,1,13,-98.44,-12.73,2.0100000000000002,-95.0,-90.67,113.0,0.0,11.33,['7']
-93.262032,44.9753,210,1,13,-95.17666666666666,-11.209999999999999,3.9600000000000004,-92.33333333333333,-86.05666666666667,110.72333333333334,4.17,12.943333333333333,"['7', '7', '7']"
