Lon,Lat,GPS Head,PCI255_4_mean,PCI255_5_mean,PCI255_10_mean,PCI255_11_mean,PCI255_12_mean,PCI255_13_mean,PCI255_20_mean,PCI255_21_mean,PCI255_26_mean,PCI255_27_mean,PCI255_28_mean,PCI255_29_mean,PCI255_cell_mean,PCI255_4_max,PCI255_5_max,PCI255_10_max,PCI255_11_max,PCI255_12_max,PCI255_13_max,PCI255_20_max,PCI255_21_max,PCI255_26_max,PCI255_27_max,PCI255_28_max,PCI255_29_max,PCI255_cell_max,PCI255_4_min,PCI255_5_min,PCI255_10_min,PCI255_11_min,PCI255_12_min,PCI255_13_min,PCI255_20_min,PCI255_21_min,PCI255_26_min,PCI255_27_min,PCI255_28_min,PCI255_29_min,PCI255_cell_min,PCI255_4_std,PCI255_5_std,PCI255_10_std,PCI255_11_std,PCI255_12_std,PCI255_13_std,PCI255_20_std,PCI255_21_std,PCI255_26_std,PCI255_27_std,PCI255_28_std,PCI255_29_std,PCI255_cell_std,PCI255_4_count,PCI255_5_count,PCI255_10_count,PCI255_11_count,PCI255_12_count,PCI255_13_count,PCI255_20_count,PCI255_21_count,PCI255_26_count,PCI255_27_count,PCI255_28_count,PCI255_29_count,PCI255_cell_count,run
-93.262154,44.975349,120,-116.52,,,-115.68,,,,,,,,,-116.38333333333333,-116.52,,,-115.66,,,,,,,,,-115.17,-116.52,,,-115.7,,,,,,,,,-117.75,,,,0.028284271247471345,,,,,,,,,1.296816615151628,1,0,0,2,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262146,44.975353,90,,,,-120.76,,,,,,,,,-121.67,,,,-120.76,,,,,,,,,-121.67,,,,-120.76,,,,,,,,,-121.67,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262146,44.975353,120,,,,-120.13,,,,,,,,,-120.55,,,,-120.13,,,,,,,,,-120.55,,,,-120.13,,,,,,,,,-120.55,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262138,44.975357,90,,,,-121.45,,,,,,,,,-121.74,,,,-121.45,,,,,,,,,-121.74,,,,-121.45,,,,,,,,,-121.74,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262131,44.975361,90,,,,-121.36999999999999,,,,,,,,,-121.42250000000001,,,,-120.55,,,,,,,,,-120.66,,,,-121.7,,,,,,,,,-121.78,,,,0.5482700064749145,,,,,,,,,0.5137038705973284,0,0,0,4,0,0,0,0,0,0,0,0,4,"['14', '14', '14', '14']"
-93.262123,44.975361,90,,,,-119.77,,,,,,,,,-119.89,,,,-119.77,,,,,,,,,-119.89,,,,-119.77,,,,,,,,,-119.89,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262115,44.975361,120,,,,-119.315,,,,,,,,,-119.38999999999999,,,,-119.14,,,,,,,,,-119.21,,,,-119.49,,,,,,,,,-119.57,,,,0.24748737341528762,,,,,,,,,0.25455844122715166,0,0,0,2,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262108,44.975361,120,,,,-118.98666666666666,,,,,,,,,-119.00666666666666,,,,-118.96,,,,,,,,,-118.96,,,,-119.02,,,,,,,,,-119.06,,,,0.030550504633039058,,,,,,,,,0.05033222956847412,0,0,0,3,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.2621,44.975353,120,,,,,,,-120.79,,,,,,-119.49,,,,,,,-120.79,,,,,,-119.49,,,,,,,-120.79,,,,,,-119.49,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,['14']
-93.2621,44.975357,120,,,,-119.81,,,,,,,,,-119.85499999999999,,,,-118.95,,,,,,,,,-118.96,,,,-120.67,,,,,,,,,-120.75,,,,1.216223663640861,,,,,,,,,1.2657211383239295,0,0,0,2,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262093,44.975349,120,,,,-118.28999999999999,,,-119.88,,,,,,-117.73000000000002,,,,-117.51,,,-119.88,,,,,,-117.4,,,,-119.07,,,-119.88,,,,,,-118.23,,,,1.1030865786510007,,,,,,,,,0.44034077712608366,0,0,0,2,0,0,1,0,0,0,0,0,3,"['14', '14', '14']"
-93.262085,44.975349,120,,,,-117.33500000000001,,,,,,,,,-117.32,,,,-117.31,,,,,,,,,-117.31,,,,-117.36,,,,,,,,,-117.33,,,,0.035355339059330394,,,,,,,,,0.014142135623723113,0,0,0,2,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262077,44.975296,300,-98.92,,,-98.2,,,-103.95,,,-103.4,,,-97.41,-98.92,,,-98.2,,,-103.95,,,-103.4,,,-97.41,-98.92,,,-98.2,,,-103.95,,,-103.4,,,-97.41,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,0,0,1,['7']
-93.262077,44.9753,300,-93.04,,-107.08,-98.50333333333333,,-106.0,-104.16499999999999,-108.18,,-107.02,,,-92.79333333333334,-92.08,,-107.08,-97.34,,-106.0,-104.13,-108.18,,-107.02,,,-91.93,-94.46,,-107.08,-100.63,,-106.0,-104.2,-108.18,,-107.02,,,-93.93,1.2549103553640761,,,1.8444601739623787,,,0.04949747468306858,,,,,,1.0276348248932283,3,0,1,3,0,1,2,1,0,1,0,0,3,"['7', '7', '7']"
-93.262077,44.9753,330,-91.66,,,-101.49000000000001,,-101.55000000000001,-99.945,,,,,,-91.645,-91.44,,,-101.14,,-100.79,-98.59,,,,,,-91.41,-91.88,,,-101.84,,-102.31,-101.3,,,,,,-91.88,0.3111269837220793,,,0.4949747468305903,,1.0748023074035544,1.9162593770155343,,,,,,0.33234018715767655,2,0,0,2,0,2,2,0,0,0,0,0,2,"['7', '7']"
-93.262077,44.975349,120,,,,-119.22,,,,,,,,,-119.6,,,,-119.22,,,,,,,,,-119.6,,,,-119.22,,,,,,,,,-119.6,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.26207,44.975288,270,-102.047,,-105.42,-102.016,,-106.076,-105.76999999999998,,-108.43,-111.06,,,-100.551,-98.67,,-105.42,-95.77,,-102.4,-102.84,,-107.76,-111.06,,,-95.62,-106.15,,-105.42,-106.43,,-110.29,-109.96,,-109.37,-111.06,,,-105.7,3.3166115573310964,,,3.723368248120398,,3.664243441694344,2.6775776780930665,,0.8382720322186612,,,,3.803154976828815,10,0,1,10,0,5,10,0,3,1,0,0,10,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.975292,270,-100.58,,-106.18,-97.55,,,-102.77,,,,,,-97.51,-100.58,,-106.18,-97.55,,,-102.77,,,,,,-97.51,-100.58,,-106.18,-97.55,,,-102.77,,,,,,-97.51,,,,,,,,,,,,,,1,0,1,1,0,0,1,0,0,0,0,0,1,['7']
-93.26207,44.975296,300,-98.71,,,-98.75,,,-103.52,,,-105.05,,,-97.32,-98.71,,,-98.75,,,-103.52,,,-105.05,,,-97.32,-98.71,,,-98.75,,,-103.52,,,-105.05,,,-97.32,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,0,0,1,['7']
-93.26207,44.9753,0,-108.4841176470588,-109.95666666666666,,-107.97028571428575,-108.9675,-120.9075,-110.02640000000001,-109.675,-119.99,-115.702,,,-108.06512820512823,-104.5,-107.98,,-103.09,-104.95,-118.2,-107.74,-109.33,-119.99,-114.66,,,-103.08,-117.09,-113.21,,-120.51,-111.85,-124.18,-113.45,-110.02,-119.99,-117.73,,,-119.03,3.728243649899037,2.8391254522006006,,3.562565570677704,1.9265455176504211,2.522160119157126,1.4861944691055746,0.4879036790187162,,1.246302531490654,,,4.465422047475287,34,3,0,35,20,4,25,2,1,5,0,0,39,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.9753,60,,,,-105.49,-104.52,,-106.16,-107.89,,,,,-103.96,,,,-105.49,-104.52,,-106.16,-107.89,,,,,-103.96,,,,-105.49,-104.52,,-106.16,-107.89,,,,,-103.96,,,,,,,,,,,,,,0,0,0,1,1,0,1,1,0,0,0,0,1,['7']
-93.26207,44.9753,150,-107.85,,,-104.48,-104.96,,-105.85,,,,,,-103.56,-107.85,,,-104.48,-104.96,,-105.85,,,,,,-103.56,-107.85,,,-104.48,-104.96,,-105.85,,,,,,-103.56,,,,,,,,,,,,,,1,0,0,1,1,0,1,0,0,0,0,0,1,['7']
-93.26207,44.9753,210,-107.72,,,-104.09,-105.21,,-105.3,,,,,,-102.43,-107.72,,,-104.09,-105.21,,-105.3,,,,,,-102.43,-107.72,,,-104.09,-105.21,,-105.3,,,,,,-102.43,,,,,,,,,,,,,,1,0,0,1,1,0,1,0,0,0,0,0,1,['7']
-93.26207,44.9753,270,,,,-104.09,-101.57,,-105.01,-104.61,,,,,-101.08,,,,-104.09,-101.57,,-105.01,-104.61,,,,,-101.08,,,,-104.09,-101.57,,-105.01,-104.61,,,,,-101.08,,,,,,,,,,,,,,0,0,0,1,1,0,1,1,0,0,0,0,1,['7']
-93.26207,44.9753,330,-99.74000000000001,,,-102.0075,-101.80333333333334,,-100.19666666666666,-104.25,,,,,-98.5475,-95.73,,,-100.84,-101.31,,-99.13,-103.8,,,,,-95.12,-102.48,,,-103.4,-102.4,,-101.01,-104.7,,,,,-100.42,2.882394837630679,,,1.1564132767599424,0.5522982286168729,,0.9652633492127174,0.6363961030678968,,,,,2.3625039682506395,4,0,0,4,3,0,3,2,0,0,0,0,4,"['7', '7', '7', '7']"
-93.26207,44.975349,120,,,,-115.855,,,-121.59,,,,,,-117.24666666666667,,,,-115.23,,,-121.59,,,,,,-115.5,,,,-116.48,,,-121.59,,,,,,-119.79,,,,0.8838834764831844,,,,,,,,,2.2532273150601885,0,0,0,2,0,0,1,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975288,240,-106.00333333333333,,,-106.37,,-111.3,-111.97,,,,,,-105.072,-105.34,,,-105.58,,-111.3,-111.97,,,,,,-103.82,-107.04,,,-107.41,,-111.3,-111.97,,,,,,-106.03,0.9094137305612572,,,0.9402659198333201,,,,,,,,,0.852273430302747,3,0,0,3,0,1,1,0,0,0,0,0,5,"['7', '7', '7', '7', '7']"
-93.262062,44.9753,0,-119.07000000000001,,,-116.0911111111111,,,,,,,,,-116.29095238095235,-119.04,,,-110.09,,,,,,,,,-110.23,-119.09,,,-119.73,,,,,,,,,-119.3,0.026457513110648027,,,3.0035114525754025,,,,,,,,,2.912903885750273,3,0,0,18,0,0,0,0,0,0,0,0,21,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262062,44.975349,120,,,,-115.87,,,,,,,,,-115.945,,,,-115.7,,,,,,,,,-115.65,,,,-116.04,,,,,,,,,-116.24,,,,0.24041630560342858,,,,,,,,,0.41719300090006045,0,0,0,2,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262062,44.975361,180,-117.75,,,-113.7,,,,,,,,,-114.36666666666666,-117.75,,,-112.2,,,,,,,,,-112.37,-117.75,,,-115.2,,,,,,,,,-115.96,,,,2.1213203435596424,,,,,,,,,1.8286698262215988,1,0,0,2,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975365,180,,,,-111.84666666666668,,,,,,,,,-112.09333333333335,,,,-111.42,,,,,,,,,-111.7,,,,-112.48,,,,,,,,,-112.4,,,,0.5594044452212855,,,,,,,,,0.3579571668975719,0,0,0,3,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975368,180,,,,-115.18333333333334,,,,,,,,,-115.71666666666665,,,,-112.77,,,,,,,,,-114.11,,,,-116.41,,,,,,,,,-116.6,,,,2.090103665690617,,,,,,,,,1.3937120697379832,0,0,0,3,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975372,180,,,,-113.66,,,,,,,,,-113.76,,,,-113.66,,,,,,,,,-113.76,,,,-113.66,,,,,,,,,-113.76,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262062,44.975372,210,,,,-113.43,,,,,,,,,-113.67,,,,-113.43,,,,,,,,,-113.67,,,,-113.43,,,,,,,,,-113.67,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262062,44.975376,210,,,,-113.26,,,,,,,,,-113.88,,,,-113.26,,,,,,,,,-113.88,,,,-113.26,,,,,,,,,-113.88,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
