Lon,Lat,GPS Head,PCI1_4_mean,PCI1_5_mean,PCI1_10_mean,PCI1_11_mean,PCI1_12_mean,PCI1_13_mean,PCI1_26_mean,PCI1_28_mean,PCI1_29_mean,PCI1_cell_mean,PCI1_20_mean,PCI1_21_mean,PCI1_27_mean,PCI1_4_max,PCI1_5_max,PCI1_10_max,PCI1_11_max,PCI1_12_max,PCI1_13_max,PCI1_26_max,PCI1_28_max,PCI1_29_max,PCI1_cell_max,PCI1_20_max,PCI1_21_max,PCI1_27_max,PCI1_4_min,PCI1_5_min,PCI1_10_min,PCI1_11_min,PCI1_12_min,PCI1_13_min,PCI1_26_min,PCI1_28_min,PCI1_29_min,PCI1_cell_min,PCI1_20_min,PCI1_21_min,PCI1_27_min,PCI1_4_std,PCI1_5_std,PCI1_10_std,PCI1_11_std,PCI1_12_std,PCI1_13_std,PCI1_26_std,PCI1_28_std,PCI1_29_std,PCI1_cell_std,PCI1_20_std,PCI1_21_std,PCI1_27_std,PCI1_4_count,PCI1_5_count,PCI1_10_count,PCI1_11_count,PCI1_12_count,PCI1_13_count,PCI1_26_count,PCI1_28_count,PCI1_29_count,PCI1_cell_count,PCI1_20_count,PCI1_21_count,PCI1_27_count,run
-93.262146,44.975353,120,-113.4,,-105.16,-114.66,,-102.48,,,,-102.45,,,,-113.4,,-105.16,-114.66,,-102.48,,,,-102.45,,,,-113.4,,-105.16,-114.66,,-102.48,,,,-102.45,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.262138,44.975357,90,-112.08,,-105.02,-112.49,,-102.28,,,,-102.27,,,,-112.08,,-105.02,-112.49,,-102.28,,,,-102.27,,,,-112.08,,-105.02,-112.49,,-102.28,,,,-102.27,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.262131,44.975361,90,-109.29750000000001,,-104.225,-109.9675,,-102.47749999999999,,,,-102.4275,,,,-108.2,,-103.31,-109.7,,-102.23,,,,-102.2,,,,-111.06,,-105.27,-110.3,,-102.77,,,,-102.77,,,,1.2333254504252578,,0.8614909556499498,0.2990401310861105,,0.22823598898216169,,,,0.2486463351831249,,,,4,0,4,4,0,4,0,0,0,4,0,0,0,"['14', '14', '14', '14']"
-93.262123,44.975361,90,-108.52,,-106.59,-110.47,,-103.44,,,,-103.36,,,,-108.52,,-106.59,-110.47,,-103.44,,,,-103.36,,,,-108.52,,-106.59,-110.47,,-103.44,,,,-103.36,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.262115,44.975361,120,-109.44,,-107.57,-111.13499999999999,,-105.39,,,,-105.36500000000001,,,,-109.09,,-107.34,-111.03,,-105.23,,,,-105.2,,,,-109.79,,-107.8,-111.24,,-105.55,,,,-105.53,,,,0.49497474683058024,,0.32526911934580244,0.1484924240491756,,0.22627416997969038,,,,0.23334523779155444,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262108,44.975361,120,-106.52,,-104.30333333333334,-108.61666666666667,,-102.13333333333333,,,,-102.13333333333333,,,,-106.17,,-103.5,-107.38,,-101.01,,,,-101.01,,,,-107.22,,-105.43,-110.33,,-103.55,,,,-103.55,,,,0.6062177826491003,,1.0048051220676328,1.531676641244271,,1.2951576480619278,,,,1.2951576480619278,,,,3,0,3,3,0,3,0,0,0,3,0,0,0,"['14', '14', '14']"
-93.2621,44.975353,120,-107.35,,-103.76,-108.31,,-101.84,,,,-101.85,,,,-107.35,,-103.76,-108.31,,-101.84,,,,-101.85,,,,-107.35,,-103.76,-108.31,,-101.84,,,,-101.85,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.2621,44.975357,120,-106.89500000000001,,-102.89,-107.78999999999999,,-100.685,,,,-100.715,,,,-106.54,,-102.52,-107.28,,-100.49,,,,-100.52,,,,-107.25,,-103.26,-108.3,,-100.88,,,,-100.91,,,,0.5020458146424392,,0.5232590180780515,0.7212489168102807,,0.2757716446627489,,,,0.2757716446627489,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262093,44.975349,120,-106.69333333333333,,-102.76333333333332,-107.81333333333335,,-101.54333333333334,,,,-101.45666666666666,,,,-106.23,,-102.32,-107.34,,-100.83,,,,-100.77,,,,-107.41,,-103.59,-108.45,,-102.28,,,,-102.22,,,,0.6294706771036469,,0.7165426249242555,0.5727419430540585,,0.725281554524409,,,,0.72803388199543,,,,3,0,3,3,0,3,0,0,0,3,0,0,0,"['14', '14', '14']"
-93.262085,44.975349,120,-106.18,,-103.56,-107.34,,-101.17,,,,-101.145,,,,-105.98,,-103.27,-107.27,,-100.8,,,,-100.77,,,,-106.38,,-103.85,-107.41,,-101.54,,,,-101.52,,,,0.28284271247460796,,0.41012193308819134,0.09899494936612208,,0.5232590180780515,,,,0.5303300858899106,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262077,44.975349,120,-106.91,,-104.52,-108.36,,-102.56,,,,-102.56,,,,-106.91,,-104.52,-108.36,,-102.56,,,,-102.56,,,,-106.91,,-104.52,-108.36,,-102.56,,,,-102.56,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.26207,44.9753,0,-110.46833333333332,,-110.18157894736844,-110.75181818181818,,-109.36416666666668,,,,-111.37102564102565,,,,-104.71,,-102.7,-107.88,,-101.77,,,,-101.66,,,,-121.7,,-120.43,-118.84,,-121.05,,,,-120.04,,,,6.4237780349591995,,6.441081916674386,4.116826005994955,,5.838703635647857,,,,6.253836630788194,,,,12,0,19,11,0,24,0,0,0,39,0,0,0,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.9753,60,,,-121.23,,,,,,,-119.82,,,,,,-121.23,,,,,,,-119.82,,,,,,-121.23,,,,,,,-119.82,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,['7']
-93.26207,44.9753,150,,,,,,-119.96,,,,-119.98,,,,,,,,,-119.96,,,,-119.98,,,,,,,,,-119.96,,,,-119.98,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['7']
-93.26207,44.9753,210,,,,,,-118.37,,,,-118.42,,,,,,,,,-118.37,,,,-118.42,,,,,,,,,-118.37,,,,-118.42,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['7']
