Lon,Lat,GPS Head,PCI12866_mean,PCI16266_mean,PCI20266_mean,PCI22466_mean,PCI28866_mean,PCI12813_mean,PCI16213_mean,PCI20213_mean,PCI22413_mean,PCI28813_mean,PCI12866_max,PCI16266_max,PCI20266_max,PCI22466_max,PCI28866_max,run_max,PCI12813_max,PCI16213_max,PCI20213_max,PCI22413_max,PCI28813_max,PCI12866_min,PCI16266_min,PCI20266_min,PCI22466_min,PCI28866_min,run_min,PCI12813_min,PCI16213_min,PCI20213_min,PCI22413_min,PCI28813_min,PCI12866_std,PCI16266_std,PCI20266_std,PCI22466_std,PCI28866_std,PCI12813_std,PCI16213_std,PCI20213_std,PCI22413_std,PCI28813_std,PCI12866_count,PCI16266_count,PCI20266_count,PCI22466_count,PCI28866_count,run_count,PCI12813_count,PCI16213_count,PCI20213_count,PCI22413_count,PCI28813_count,run
-93.262077,44.9753,330,,,,,,,,,,-72.0,,,,,,7,,,,,-72.0,,,,,,7,,,,,-72.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262077,44.975349,120,,,,,,,,,,-72.315,,,,,,14,,,,,-71.48,,,,,,14,,,,,-73.15,,,,,,,,,,1.1808683245815306,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.26207,44.975288,270,,,,,,,,,,-71.46333333333332,,,,,,7,,,,,-69.45,,,,,,7,,,,,-73.99,,,,,,,,,,1.6206862156271427,0,0,0,0,0,15,0,0,0,0,15,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.9753,0,,,,,,,,,,-73.29755102040818,,,,,,7,,,,,-65.56,,,,,,7,,,,,-79.81,,,,,,,,,,5.094172132043075,0,0,0,0,0,49,0,0,0,0,49,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.9753,60,,,,,,,,,,-66.71,,,,,,7,,,,,-66.71,,,,,,7,,,,,-66.71,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.26207,44.9753,90,,,,,,,,,,-66.75,,,,,,7,,,,,-66.75,,,,,,7,,,,,-66.75,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.26207,44.9753,150,,,,,,,,,,-67.06,,,,,,7,,,,,-67.06,,,,,,7,,,,,-67.06,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.26207,44.9753,180,,,,,,,,,,-68.01,,,,,,7,,,,,-68.01,,,,,,7,,,,,-68.01,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.26207,44.9753,240,,,,,,,,,,-68.64,,,,,,7,,,,,-68.64,,,,,,7,,,,,-68.64,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.26207,44.9753,300,,,,,,,,,,-68.66,,,,,,7,,,,,-68.66,,,,,,7,,,,,-68.66,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
