Lon,Lat,GPS Head,PCI377_4_mean,PCI377_5_mean,PCI377_10_mean,PCI377_11_mean,PCI377_12_mean,PCI377_13_mean,PCI377_20_mean,PCI377_21_mean,PCI377_26_mean,PCI377_28_mean,PCI377_cell_mean,PCI377_29_mean,PCI377_27_mean,PCI377_4_max,PCI377_5_max,PCI377_10_max,PCI377_11_max,PCI377_12_max,PCI377_13_max,PCI377_20_max,PCI377_21_max,PCI377_26_max,PCI377_28_max,PCI377_cell_max,PCI377_29_max,PCI377_27_max,PCI377_4_min,PCI377_5_min,PCI377_10_min,PCI377_11_min,PCI377_12_min,PCI377_13_min,PCI377_20_min,PCI377_21_min,PCI377_26_min,PCI377_28_min,PCI377_cell_min,PCI377_29_min,PCI377_27_min,PCI377_4_std,PCI377_5_std,PCI377_10_std,PCI377_11_std,PCI377_12_std,PCI377_13_std,PCI377_20_std,PCI377_21_std,PCI377_26_std,PCI377_28_std,PCI377_cell_std,PCI377_29_std,PCI377_27_std,PCI377_4_count,PCI377_5_count,PCI377_10_count,PCI377_11_count,PCI377_12_count,PCI377_13_count,PCI377_20_count,PCI377_21_count,PCI377_26_count,PCI377_28_count,PCI377_cell_count,PCI377_29_count,PCI377_27_count,run
-93.262032,44.975445,30,,,,,,,,,-118.29,,-116.02,,,,,,,,,,,-118.29,,-116.02,,,,,,,,,,,-118.29,,-116.02,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,['5']
-93.262032,44.975449,30,,,,,,,,-119.12,-118.19,,-117.32333333333334,,,,,,,,,,-119.12,-118.17,,-116.94,,,,,,,,,,-119.12,-118.21,,-117.74,,,,,,,,,,,0.028284271247456274,,0.401040313850532,,,0,0,0,0,0,0,0,1,2,0,3,0,0,"['5', '5', '5']"
-93.262032,44.975761,120,,,,-117.45249999999999,,,,,,,-117.1525,,,,,,-114.84,,,,,,,-114.9,,,,,,-118.85,,,,,,,-118.81,,,,,,1.8584289960429792,,,,,,,1.8479966630561457,,,0,0,0,4,0,0,0,0,0,0,4,0,0,"['8', '8', '8', '8']"
-93.262024,44.975365,60,,,,,,,-129.81,,,,-129.46,,,,,,,,,-129.34,,,,-128.84,,,,,,,,,-130.28,,,,-130.08,,,,,,,,,0.6646803743153531,,,,0.8768124086713254,,,0,0,0,0,0,0,2,0,0,0,2,0,0,"['14', '14']"
-93.262024,44.975395,270,,,,,-117.61,-118.68,,,,,-118.155,,,,,,,-117.61,-118.68,,,,,-117.55,,,,,,,-117.61,-118.68,,,,,-118.76,,,,,,,,,,,,,0.8555992052357282,,,0,0,0,0,1,1,0,0,0,0,2,0,0,"['5', '5']"
-93.262024,44.97543,30,,,,,,,-121.43,,,,-121.43,,,,,,,,,-119.11,,,,-119.11,,,,,,,,,-122.63,,,,-122.63,,,,,,,,,2.0095770699328797,,,,2.0095770699328797,,,0,0,0,0,0,0,3,0,0,0,3,0,0,"['7', '7', '7']"
-93.262024,44.975452,30,,,,,-123.47,,,,,,-114.71,,,,,,,-123.47,,,,,,-114.71,,,,,,,-123.47,,,,,,-114.71,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262024,44.975456,30,,,,,,,,-115.66,,,-112.56,,,,,,,,,,-115.66,,,-112.56,,,,,,,,,,-115.66,,,-112.56,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['5']
-93.262024,44.975765,90,,,,-118.655,,,,,,,-118.63,,,,,,-118.46,,,,,,,-118.45,,,,,,-118.85,,,,,,,-118.81,,,,,,0.27577164466275894,,,,,,,0.25455844122715166,,,0,0,0,2,0,0,0,0,0,0,2,0,0,"['8', '8']"
-93.262016,44.975391,270,,,,,-116.23875000000001,,,-117.31,-120.22,,-115.98545454545454,,,,,,,-114.97,,,-117.31,-120.22,,-114.95,,,,,,,-119.83,,,-117.31,-120.22,,-117.48,,,,,,,1.790558073418933,,,,0.0,,1.0022910119956543,,,0,0,0,0,8,0,0,1,2,0,11,0,0,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']"
